url_from,url_to
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/data-science/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/software-science/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/mathematics/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/personal-projects/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/my-life/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/services/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/become-a-blogger/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/contact/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/looking-for-a-data-scientist/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/06/30/from-python-hero-to-java-rockstar/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/author/admin/
https://www.data-blogger.com/page/2/,https://www.linkedin.com/shareArticle?mini=true&title=From+Python+Hero+to+Java+Rockstar&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F30%2Ffrom-python-hero-to-java-rockstar%2F
https://www.data-blogger.com/page/2/,https://twitter.com/share?text=From+Python+Hero+to+Java+Rockstar&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F30%2Ffrom-python-hero-to-java-rockstar%2F&via=kmjjacobs
https://www.data-blogger.com/page/2/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F30%2Ffrom-python-hero-to-java-rockstar%2F
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/06/22/what-is-big-data/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/author/ramesh/
https://www.data-blogger.com/page/2/,https://www.linkedin.com/shareArticle?mini=true&title=What+is+Big+Data%3F&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F22%2Fwhat-is-big-data%2F
https://www.data-blogger.com/page/2/,https://twitter.com/share?text=What+is+Big+Data%3F&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F22%2Fwhat-is-big-data%2F&via=kmjjacobs
https://www.data-blogger.com/page/2/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F22%2Fwhat-is-big-data%2F
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/06/15/fraud-detection-a-simple-machine-learning-approach/
https://www.data-blogger.com/page/2/,https://www.linkedin.com/shareArticle?mini=true&title=Fraud+Detection%3A+A+Simple+Machine+Learning+Approach&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Ffraud-detection-a-simple-machine-learning-approach%2F
https://www.data-blogger.com/page/2/,https://twitter.com/share?text=Fraud+Detection%3A+A+Simple+Machine+Learning+Approach&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Ffraud-detection-a-simple-machine-learning-approach%2F&via=kmjjacobs
https://www.data-blogger.com/page/2/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Ffraud-detection-a-simple-machine-learning-approach%2F
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/06/15/ovonews-the-company-news-search-engine/
https://www.data-blogger.com/page/2/,https://www.linkedin.com/shareArticle?mini=true&title=ovoNews+%26%238211%3B+The+Company+News+Search+Engine&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Fovonews-the-company-news-search-engine%2F
https://www.data-blogger.com/page/2/,https://twitter.com/share?text=ovoNews+-+The+Company+News+Search+Engine&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Fovonews-the-company-news-search-engine%2F&via=kmjjacobs
https://www.data-blogger.com/page/2/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F15%2Fovonews-the-company-news-search-engine%2F
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/06/08/make-a-profitable-portfolio-with-python/
https://www.data-blogger.com/page/2/,https://www.linkedin.com/shareArticle?mini=true&title=Make+a+Profitable+Portfolio+using+Python&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F08%2Fmake-a-profitable-portfolio-with-python%2F
https://www.data-blogger.com/page/2/,https://twitter.com/share?text=Make+a+Profitable+Portfolio+using+Python&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F08%2Fmake-a-profitable-portfolio-with-python%2F&via=kmjjacobs
https://www.data-blogger.com/page/2/,https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F06%2F08%2Fmake-a-profitable-portfolio-with-python%2F
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/page/3/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2016/08/13/apache-flink-the-next-distributed-data-processing-revolution/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2016/08/18/scraping-a-website-with-python-scrapy/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/08/27/gru-implementation-tensorflow/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/book-review/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/category/uncategorized/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/05/17/elman-rnn-implementation-in-tensorflow/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/04/07/building-a-tic-tac-toe-web-app-with-webpack-babel-react-redux/
https://www.data-blogger.com/page/2/,https://www.data-blogger.com/2017/03/15/pi-day-pi-and-the-basel-problem/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/do-it-yourself/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/technology/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/web-technology/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/data-science/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/software-science/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/mathematics/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/personal-projects/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/my-life/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/category/services/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/become-a-blogger/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/contact/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/looking-for-a-data-scientist/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.data-blogger.com/author/admin/
https://www.data-blogger.com/2017/02/24/gathering-tweets-with-python/,https://www.linkedin.com/shareArticle?mini=true&title=Gathering+Tweets+with+Python&url=https%3A%2F%2Fwww.data-blogger.com%2F2017%2F02%2F24%2Fgathering-tweets-with-python%2F
